id,latitude,longitude,price,review_count,rating,zip_code,city,alias,categories
6UyvLJidKL1YCRlwQUQFkA,33.752092482963,-118.307597690837,$,93,3.0,90732,San Pedro,pick-up-stix-san-pedro,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
5lL6MKepj8ADj1cwm_z-8w,33.7515302671775,-118.308292748353,$,96,3.0,90732,San Pedro,the-flame-broiler-san-pedro,"[{'alias': 'newamerican', 'title': 'American (New)'}]"
XxbjEeLuRgartfxQoEtwWA,33.751964,-118.308296,$,26,2.5,90732,San Pedro,subway-restaurants-san-pedro-3,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]"
01dYhBETz6yIUXxNZE0waA,33.752883,-118.3075413,$$,105,2.5,90732,San Pedro,marie-callenders-san-pedro-2,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
e5BudD7Ln26uX-gv00WiJA,33.7524224359846,-118.308141400909,$,64,2.5,90732,San Pedro,del-taco-san-pedro,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'mexican', 'title': 'Mexican'}]"
mHtRPqvCDFN7D_MIyycYHQ,33.752452,-118.308568,$,108,4.5,90732,San Pedro,yogurtland-san-pedro-san-pedro,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]"
WuCbhwSXvVXE9XMgGHMxJA,33.762723375773,-118.293628384656,$$,116,4.5,90731,San Pedro,happy-diner-san-pedro-3,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'mexican', 'title': 'Mexican'}]"
08_4tii26UCtdabjDNhspA,33.7533976,-118.3086819,$,186,3.5,90732,San Pedro,in-n-out-burger-san-pedro,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]"
fv5M19-7YerFFXQxkPc0ig,34.0053558349609,-118.479789733887,$,111,4.0,90405,Santa Monica,pinch-of-flavor-santa-monica,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'catering', 'title': 'Caterers'}]"
A8u1P4p29eYwtVYbjQuRkw,34.05814,-118.24666,$$,217,3.5,90012,Los Angeles,brewwings-los-angeles,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'catering', 'title': 'Caterers'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]"
M0JcJIr7zSOSHqfpfENeCQ,34.0334815979004,-118.473663330078,$,32,5.0,90404,Santa Monica,pop-candy-santa-monica,"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'candy', 'title': 'Candy Stores'}]"
MaMcWQp1PjAgW_bXjViSVg,33.73095,-117.81275,$,7,5.0,92780,Tustin,the-feeding-frenzy-tustin-2,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'catering', 'title': 'Caterers'}]"
