,alias,categories,city,id,latitude,longitude,price,rating,review_count,zip_code
13444,mcdonalds-los-angeles-130,"['hotdogs', 'burgers', 'coffee']",Los Angeles,MtcJ55yvY-etl_Yd5c-jEA,33.9452069518192,-118.265528131074,1,2.0,29.0,90003
13445,mcdonalds-los-angeles-126,"['hotdogs', 'burgers', 'coffee']",Los Angeles,Yl8F3uV0wE_2CWfoXDiCrA,34.0259936,-118.43152759999998,1,2.0,111.0,90064
13446,mcdonalds-los-angeles-122,"['burgers', 'hotdogs', 'coffee']",Los Angeles,RlIkOG3cCiW0bKaMjT4Fcw,34.026677,-118.199277,1,1.5,55.0,90023
13447,mcdonalds-los-angeles-120,"['hotdogs', 'burgers', 'coffee']",Los Angeles,gE0Y4abrTRQypIndqwaltA,33.9604451,-118.2743615,1,1.5,49.0,90003
13448,mcdonalds-los-angeles-12,"['hotdogs', 'burgers', 'coffee']",Los Angeles,qdsRgCB9O1JFJcJ0Ths9TA,34.043503055829504,-118.422458013533,1,2.5,89.0,90064
13449,mcdonalds-los-angeles-119,"['burgers', 'hotdogs', 'coffee']",Los Angeles,G5Y-htmjLHHE_eORbBv_aw,33.97555,-118.37333899999999,1,2.0,45.0,90045
13450,mcdonalds-los-angeles-118,"['hotdogs', 'burgers', 'coffee']",Los Angeles,anaHTzu-wa8pItmcRVLHNw,34.01063,-118.2569,1,1.0,41.0,90011
13451,mcdonalds-los-angeles-115,"['hotdogs', 'burgers', 'coffee']",Los Angeles,RMV7JHH_7C3cjXh7ZL3U-Q,34.011163,-118.294027,1,1.5,56.0,90037
13452,mcdonalds-los-angeles-114,"['hotdogs', 'burgers', 'coffee']",Los Angeles,_MUHvGaBGxoFSADD0IqJ4Q,34.05994372,-118.3094998,1,2.0,181.0,90005
13453,mcdonalds-los-angeles-112,"['hotdogs', 'burgers', 'coffee']",Los Angeles,Ua-gGucMM3BSTSOSdRCmvA,34.0403554468693,-118.284440542328,1,1.5,46.0,90006
13454,mcdonalds-los-angeles-110,"['burgers', 'hotdogs', 'coffee']",Los Angeles,O8DGRnUMvNZIzV8oGQWThg,34.0876564404598,-118.17599799999999,1,1.5,66.0,90032
13455,mcdonalds-los-angeles-108,"['burgers', 'hotdogs', 'coffee']",Los Angeles,lng-PZIdFlsMHIpLRaj6ow,33.989011,-118.256079,1,1.5,68.0,90011
13456,mcdonalds-los-angeles-106,"['burgers', 'hotdogs', 'coffee']",Los Angeles,YksIT-x5hMpZf7PFDk-tsg,34.052519700000005,-118.34427,1,2.5,83.0,90019
13457,mcdonalds-los-angeles-105,"['burgers', 'hotdogs', 'coffee']",Los Angeles,F6krcxZm6u_FpLMi8bAJHg,33.98886617,-118.3119517,1,2.0,41.0,90062
13458,mcdonalds-los-angeles-10,"['hotdogs', 'burgers', 'coffee']",Los Angeles,j72XyH5cDxrUxsdK8ClYAA,34.083114638881895,-118.222814798355,1,2.0,70.0,90065
13459,mcdonalds-los-alamitos-2,"['hotdogs', 'burgers', 'coffee']",Los Alamitos,cXcLdOawp5dYReHRwLIpdQ,33.802771,-118.070621,1,2.0,80.0,90720
